gameid,side,league,year,patch,teamname,datacompleteness,result,win,golddiffat10,firstdragon,dragons,opp_dragons,firstbaron,barons,opp_barons,towers,opp_towers,visionscore,vspm,killsat10,opp_killsat10,tower_diff,team_vspm,kills_diff_10
ESPORTSTMNT03_2885414,Red,LCS,2022,12.13,Team Liquid,complete,0,0,532.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,8.0,536.0,14.1238,1.0,0.0,-3.0,14.1238,1.0
ESPORTSTMNT03_2885419,Blue,LLA,2022,12.13,Isurus,complete,1,1,-254.0,1.0,4.0,0.0,1.0,0.0,0.0,7.0,2.0,568.0,17.549,0.0,0.0,5.0,17.549,0.0
ESPORTSTMNT03_2885419,Red,LLA,2022,12.13,inf,complete,0,0,254.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,7.0,354.0,10.9372,0.0,0.0,-5.0,10.9372,0.0
ESPORTSTMNT03_2885425,Blue,LCS,2022,12.13,100 Thieves,complete,1,1,369.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,3.0,474.0,14.6825,0.0,0.0,4.0,14.6825,0.0
ESPORTSTMNT03_2885425,Red,LCS,2022,12.13,Immortals,complete,0,0,-369.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,7.0,542.0,16.788899999999998,0.0,0.0,-4.0,16.788899999999998,0.0
ESPORTSTMNT03_2885433,Blue,LLA,2022,12.13,Team Aze,complete,0,0,360.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,10.0,760.0,16.4502,1.0,0.0,-6.0,16.4502,1.0
ESPORTSTMNT03_2885433,Red,LLA,2022,12.13,Movistar R7,complete,1,1,-360.0,0.0,3.0,3.0,1.0,0.0,0.0,10.0,4.0,808.0,17.4893,0.0,1.0,6.0,17.4893,-1.0
ESPORTSTMNT03_2885434,Blue,LCS,2022,12.13,Counter Logic Gaming,complete,1,1,98.0,0.0,3.0,1.0,1.0,0.0,0.0,11.0,1.0,392.0,13.3637,0.0,0.0,10.0,13.3637,0.0
ESPORTSTMNT03_2885434,Red,LCS,2022,12.13,Dignitas,complete,0,0,-98.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,11.0,410.0,13.9772,0.0,0.0,-10.0,13.9772,0.0
ESPORTSTMNT03_2885443,Blue,LLA,2022,12.13,All Knights,complete,1,1,-112.0,1.0,4.0,2.0,1.0,0.0,0.0,9.0,3.0,746.0,19.7008,0.0,0.0,6.0,19.7008,0.0
ESPORTSTMNT03_2885443,Red,LLA,2022,12.13,XTEN Esports,complete,0,0,112.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,9.0,576.0,15.2113,0.0,0.0,-6.0,15.2113,0.0
ESPORTSTMNT03_2885482,Blue,LCO,2022,12.13,Chiefs Esports Club,complete,1,1,563.0,0.0,3.0,1.0,1.0,0.0,0.0,11.0,4.0,548.0,18.2462,0.0,0.0,7.0,18.2462,0.0
ESPORTSTMNT03_2885482,Red,LCO,2022,12.13,Pentanet.GG,complete,0,0,-563.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,11.0,368.0,12.253,0.0,0.0,-7.0,12.253,0.0
ESPORTSTMNT03_2885491,Blue,LCO,2022,12.13,Dire Wolves,complete,1,1,379.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,0.0,358.0,14.8651,0.0,0.0,8.0,14.8651,0.0
ESPORTSTMNT03_2885491,Red,LCO,2022,12.13,MAMMOTH,complete,0,0,-379.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,218.0,9.0519,0.0,0.0,-8.0,9.0519,0.0
ESPORTSTMNT03_2885497,Blue,LCO,2022,12.13,ORDER,complete,1,1,-22.0,0.0,3.0,3.0,1.0,0.0,0.0,11.0,4.0,668.0,16.897100000000002,0.0,0.0,7.0,16.897100000000002,0.0
ESPORTSTMNT03_2885497,Red,LCO,2022,12.13,PEACE,complete,0,0,22.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,11.0,508.0,12.85,0.0,0.0,-7.0,12.85,0.0
ESPORTSTMNT03_2885518,Blue,LCO,2022,12.13,Kanga Esports,complete,1,1,-36.0,1.0,3.0,0.0,1.0,0.0,0.0,7.0,0.0,278.0,12.0608,0.0,0.0,7.0,12.0608,0.0
